Date,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2015,1.3,ppb,1,24,100
1/2/2015,0.5,ppb,0,24,100
1/3/2015,2.2,ppb,3,24,100
1/4/2015,1.8,ppb,1,24,100
1/5/2015,4.1,ppb,6,24,100
1/6/2015,4,ppb,6,24,100
1/7/2015,1.3,ppb,1,24,100
1/8/2015,2,ppb,3,24,100
1/9/2015,1.6,ppb,1,24,100
1/10/2015,0.7,ppb,0,24,100
1/11/2015,1,ppb,1,21,88
1/12/2015,1.4,ppb,1,24,100
1/13/2015,0.8,ppb,0,24,100
1/14/2015,2.2,ppb,3,24,100
1/15/2015,1.5,ppb,1,24,100
1/16/2015,4.8,ppb,6,24,100
1/17/2015,1.1,ppb,1,22,92
1/18/2015,2.3,ppb,3,24,100
1/19/2015,3.5,ppb,4,24,100
1/20/2015,5.5,ppb,7,21,88
1/21/2015,0.6,ppb,0,24,100
1/22/2015,0.5,ppb,0,24,100
1/23/2015,2.2,ppb,3,24,100
1/24/2015,1,ppb,1,24,100
1/25/2015,1.5,ppb,1,21,88
1/26/2015,1.9,ppb,1,24,100
1/27/2015,2,ppb,3,24,100
1/28/2015,2.4,ppb,3,24,100
1/29/2015,0.7,ppb,0,24,100
1/30/2015,1,ppb,1,24,100
1/31/2015,0.8,ppb,0,24,100
2/1/2015,0.7,ppb,0,24,100
2/2/2015,2.3,ppb,3,24,100
2/3/2015,2.8,ppb,3,24,100
2/4/2015,2.4,ppb,3,24,100
2/5/2015,2.4,ppb,3,24,100
2/6/2015,1.9,ppb,1,24,100
2/7/2015,2.7,ppb,3,24,100
2/8/2015,1.5,ppb,1,24,100
2/10/2015,4.4,ppb,6,24,100
2/11/2015,1.1,ppb,1,24,100
2/12/2015,1.8,ppb,1,24,100
2/13/2015,3.5,ppb,4,24,100
2/14/2015,1.8,ppb,1,24,100
2/15/2015,2.5,ppb,3,24,100
2/16/2015,1.5,ppb,1,24,100
2/17/2015,1.1,ppb,1,24,100
2/18/2015,3.2,ppb,4,24,100
2/19/2015,3.8,ppb,4,24,100
2/20/2015,4.5,ppb,6,24,100
2/21/2015,1.4,ppb,1,24,100
2/22/2015,0.9,ppb,0,21,88
2/23/2015,0.9,ppb,0,24,100
2/24/2015,1.5,ppb,1,24,100
2/25/2015,1.2,ppb,1,24,100
2/26/2015,2,ppb,3,24,100
2/27/2015,1.1,ppb,1,24,100
2/28/2015,1.2,ppb,1,24,100
3/1/2015,1.5,ppb,1,24,100
3/2/2015,1.4,ppb,1,24,100
3/3/2015,1.1,ppb,1,24,100
3/4/2015,1.9,ppb,1,24,100
3/5/2015,1,ppb,1,24,100
3/6/2015,1.3,ppb,1,24,100
3/7/2015,1.4,ppb,1,24,100
3/8/2015,1.6,ppb,1,21,88
3/9/2015,2.2,ppb,3,24,100
3/10/2015,1.3,ppb,1,24,100
3/11/2015,1.8,ppb,1,24,100
3/12/2015,4,ppb,6,22,92
3/13/2015,1.6,ppb,1,24,100
3/14/2015,1.3,ppb,1,24,100
3/15/2015,1.2,ppb,1,24,100
3/16/2015,3.3,ppb,4,24,100
3/17/2015,1.9,ppb,1,24,100
3/18/2015,1.8,ppb,1,24,100
3/19/2015,1.1,ppb,1,24,100
3/20/2015,1.1,ppb,1,24,100
3/21/2015,1.5,ppb,1,24,100
3/22/2015,1.3,ppb,1,21,88
3/23/2015,2,ppb,3,24,100
