Date,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/16,0.3,ppm,3,19,79
1/2/16,0.4,ppm,5,24,100
1/3/16,0.8,ppm,9,24,100
1/4/16,1,ppm,11,24,100
1/5/16,0.3,ppm,3,24,100
1/6/16,0.3,ppm,3,24,100
1/7/16,0.3,ppm,3,24,100
1/8/16,0.3,ppm,3,24,100
1/9/16,0.4,ppm,5,24,100
1/10/16,0.3,ppm,3,18,75
1/11/16,0.3,ppm,3,24,100
1/12/16,0.3,ppm,3,24,100
1/13/16,0.6,ppm,7,24,100
1/14/16,0.9,ppm,10,24,100
1/15/16,0.6,ppm,7,24,100
1/16/16,0.2,ppm,2,24,100
1/17/16,0.3,ppm,3,24,100
1/18/16,0.5,ppm,6,24,100
1/19/16,0.5,ppm,6,24,100
1/20/16,0.5,ppm,6,24,100
1/21/16,0.3,ppm,3,24,100
1/22/16,0.7,ppm,8,24,100
1/23/16,0.8,ppm,9,24,100
1/24/16,0.8,ppm,9,18,75
1/25/16,0.4,ppm,5,18,75
1/26/16,0.3,ppm,3,17,71
1/27/16,0.4,ppm,5,24,100
1/28/16,0.6,ppm,7,24,100
1/29/16,1,ppm,11,24,100
1/30/16,0.7,ppm,8,24,100
1/31/16,0.2,ppm,2,24,100
2/1/16,0.2,ppm,2,24,100
2/2/16,0.2,ppm,2,24,100
2/3/16,0.3,ppm,3,24,100
2/4/16,0.3,ppm,3,24,100
2/5/16,0.3,ppm,3,24,100
2/6/16,0.3,ppm,3,24,100
2/7/16,0.3,ppm,3,24,100
2/8/16,0.4,ppm,5,18,75
2/9/16,0.4,ppm,5,18,75
2/10/16,0.4,ppm,5,24,100
2/11/16,0.5,ppm,6,24,100
2/12/16,0.5,ppm,6,24,100
2/13/16,0.5,ppm,6,24,100
2/14/16,0.3,ppm,3,24,100
2/15/16,0.2,ppm,2,24,100
2/16/16,0.3,ppm,3,24,100
2/17/16,0.4,ppm,5,24,100
2/18/16,0.5,ppm,6,24,100
2/19/16,0.4,ppm,5,24,100
2/20/16,0.3,ppm,3,24,100
2/21/16,0.2,ppm,2,24,100
2/22/16,0.3,ppm,3,18,75
2/23/16,0.2,ppm,2,24,100
2/24/16,0.3,ppm,3,17,71
2/25/16,0.5,ppm,6,24,100
2/26/16,0.6,ppm,7,24,100
2/27/16,0.7,ppm,8,24,100
2/28/16,0.5,ppm,6,24,100
2/29/16,0.6,ppm,7,24,100
3/1/16,0.7,ppm,8,24,100
3/2/16,0.4,ppm,5,24,100
3/3/16,0.5,ppm,6,24,100
3/4/16,0.5,ppm,6,24,100
3/5/16,0.3,ppm,3,24,100
3/6/16,0.2,ppm,2,18,75
3/7/16,0.2,ppm,2,14,58
3/8/16,0.2,ppm,2,24,100
3/9/16,0.3,ppm,3,24,100
3/10/16,0.3,ppm,3,24,100
3/11/16,0.3,ppm,3,16,67
3/12/16,0.3,ppm,3,24,100
3/13/16,0.3,ppm,3,24,100
3/14/16,0.3,ppm,3,24,100
3/15/16,0.3,ppm,3,24,100
3/16/16,0.4,ppm,5,24,100
3/17/16,0.6,ppm,7,24,100
3/18/16,0.5,ppm,6,24,100
3/19/16,0.2,ppm,2,24,100
3/20/16,0.2,ppm,2,18,75
3/21/16,0.2,ppm,2,18,75
3/22/16,0.2,ppm,2,24,100
3/23/16,0.2,ppm,2,24,100
3/24/16,0.3,ppm,3,24,100
3/25/16,0.4,ppm,5,16,67
3/26/16,0.4,ppm,5,24,100
3/27/16,0.3,ppm,3,24,100
3/28/16,0.4,ppm,5,24,100
3/29/16,0.2,ppm,2,24,100
3/30/16,0.2,ppm,2,24,100
3/31/16,0.4,ppm,5,24,100
4/1/16,0.2,ppm,2,24,100
4/2/16,0.3,ppm,3,24,100
4/3/16,0.3,ppm,3,18,75
4/4/16,0.4,ppm,5,24,100
4/5/16,0.3,ppm,3,24,100
4/6/16,0.2,ppm,2,24,100
4/7/16,0.3,ppm,3,24,100
4/8/16,0.2,ppm,2,24,100
4/9/16,0.3,ppm,3,24,100
4/10/16,0.3,ppm,3,24,100
4/11/16,0.2,ppm,2,24,100
4/12/16,0.2,ppm,2,24,100
4/13/16,0.3,ppm,3,24,100
4/14/16,0.3,ppm,3,24,100
4/15/16,0.3,ppm,3,24,100
4/16/16,0.3,ppm,3,24,100
4/17/16,0.3,ppm,3,18,75
4/18/16,0.2,ppm,2,24,100
4/19/16,0.3,ppm,3,24,100
4/20/16,0.3,ppm,3,24,100
4/21/16,0.3,ppm,3,24,100
4/22/16,0.3,ppm,3,24,100
4/23/16,0.2,ppm,2,24,100
4/24/16,0.2,ppm,2,24,100
4/25/16,0.4,ppm,5,24,100
4/26/16,0.3,ppm,3,24,100
4/27/16,0.4,ppm,5,24,100
4/28/16,0.2,ppm,2,24,100
4/29/16,0.2,ppm,2,24,100
4/30/16,0.2,ppm,2,24,100
5/1/16,0.2,ppm,2,18,75
5/2/16,0.2,ppm,2,24,100
5/3/16,0.2,ppm,2,24,100
5/4/16,0.2,ppm,2,24,100
5/5/16,0.3,ppm,3,24,100
5/6/16,0.2,ppm,2,24,100
5/7/16,0.2,ppm,2,24,100
5/8/16,0.2,ppm,2,24,100
5/9/16,0.2,ppm,2,24,100
5/10/16,0.2,ppm,2,24,100
5/11/16,0.2,ppm,2,24,100
5/12/16,0.2,ppm,2,24,100
5/13/16,0.2,ppm,2,24,100
5/14/16,0.2,ppm,2,24,100
5/15/16,0.2,ppm,2,18,75
