Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2017,29.1,ppb,27,19,79
1/2/2017,31.4,ppb,29,24,100
1/3/2017,44.5,ppb,42,24,100
1/4/2017,44.6,ppb,42,24,100
1/5/2017,14.5,ppb,13,24,100
1/6/2017,10.9,ppb,9,24,100
1/7/2017,44.8,ppb,42,24,100
1/8/2017,39.9,ppb,37,19,79
1/9/2017,37,ppb,35,23,96
1/10/2017,33.8,ppb,31,24,100
1/11/2017,27.8,ppb,25,24,100
1/12/2017,41.5,ppb,39,24,100
1/13/2017,32,ppb,30,24,100
1/14/2017,23.1,ppb,22,24,100
1/15/2017,10.5,ppb,9,19,79
1/16/2017,15.8,ppb,14,24,100
1/17/2017,32.7,ppb,30,24,100
1/18/2017,27,ppb,25,24,100
1/19/2017,32.5,ppb,30,24,100
1/20/2017,22,ppb,21,24,100
1/21/2017,9.3,ppb,8,24,100
1/22/2017,10,ppb,9,19,79
1/23/2017,13.6,ppb,12,24,100
1/24/2017,11.4,ppb,10,24,100
1/25/2017,38.3,ppb,36,24,100
1/26/2017,39.2,ppb,37,20,83
1/27/2017,21.5,ppb,20,24,100
1/28/2017,25.8,ppb,24,24,100
1/29/2017,32.8,ppb,30,19,79
1/30/2017,39.4,ppb,37,24,100
1/31/2017,40.3,ppb,38,24,100
2/1/2017,44.1,ppb,42,24,100
2/2/2017,42.1,ppb,40,23,96
2/3/2017,42.4,ppb,40,24,100
2/4/2017,38.7,ppb,36,24,100
2/5/2017,38.5,ppb,36,19,79
2/6/2017,38.8,ppb,36,24,100
2/7/2017,35.6,ppb,33,24,100
2/8/2017,41.1,ppb,39,24,100
2/9/2017,36.9,ppb,34,24,100
2/10/2017,36.1,ppb,34,24,100
2/11/2017,28.1,ppb,26,24,100
2/12/2017,26.6,ppb,25,24,100
2/13/2017,22.2,ppb,21,24,100
2/14/2017,30.3,ppb,28,19,79
2/15/2017,39.3,ppb,37,24,100
2/16/2017,43.6,ppb,41,24,100
2/17/2017,36.8,ppb,34,24,100
