Date,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2021,16,ug/m3 SC,15,1,100
1/2/2021,17,ug/m3 SC,16,1,100
1/3/2021,8,ug/m3 SC,7,1,100
1/4/2021,15,ug/m3 SC,14,1,100
1/5/2021,24,ug/m3 SC,22,1,100
1/6/2021,9,ug/m3 SC,8,1,100
1/7/2021,26,ug/m3 SC,24,1,100
1/8/2021,20,ug/m3 SC,19,1,100
1/9/2021,20,ug/m3 SC,19,1,100
1/10/2021,14,ug/m3 SC,13,1,100
1/11/2021,26,ug/m3 SC,24,1,100
1/12/2021,21,ug/m3 SC,19,1,100
1/13/2021,13,ug/m3 SC,12,1,100
1/14/2021,23,ug/m3 SC,21,1,100
1/15/2021,18,ug/m3 SC,17,1,100
1/16/2021,17,ug/m3 SC,16,1,100
1/17/2021,12,ug/m3 SC,11,1,100
1/18/2021,34,ug/m3 SC,31,1,100
1/19/2021,17,ug/m3 SC,16,1,100
1/20/2021,21,ug/m3 SC,19,1,100
1/21/2021,24,ug/m3 SC,22,1,100
1/22/2021,19,ug/m3 SC,18,1,100
1/23/2021,12,ug/m3 SC,11,1,100
1/24/2021,14,ug/m3 SC,13,1,100
1/25/2021,6,ug/m3 SC,6,1,100
1/26/2021,6,ug/m3 SC,6,1,100
1/27/2021,19,ug/m3 SC,18,1,100
1/28/2021,31,ug/m3 SC,29,1,100
1/29/2021,34,ug/m3 SC,31,1,100
1/30/2021,8,ug/m3 SC,7,1,100
1/31/2021,12,ug/m3 SC,11,1,100
2/1/2021,23,ug/m3 SC,21,1,100
2/2/2021,27,ug/m3 SC,25,1,100
2/3/2021,18,ug/m3 SC,17,1,100
2/4/2021,14,ug/m3 SC,13,1,100
2/5/2021,12,ug/m3 SC,11,1,100
2/6/2021,28,ug/m3 SC,26,1,100
2/7/2021,20,ug/m3 SC,19,1,100
2/8/2021,20,ug/m3 SC,19,1,100
2/9/2021,19,ug/m3 SC,18,1,100
2/10/2021,16,ug/m3 SC,15,1,100
2/11/2021,19,ug/m3 SC,18,1,100
2/12/2021,24,ug/m3 SC,22,1,100
2/13/2021,20,ug/m3 SC,19,1,100
2/14/2021,26,ug/m3 SC,24,1,100
2/15/2021,24,ug/m3 SC,22,1,100
2/16/2021,13,ug/m3 SC,12,1,100
2/17/2021,13,ug/m3 SC,12,1,100
2/18/2021,13,ug/m3 SC,12,1,100
2/19/2021,16,ug/m3 SC,15,1,100
2/20/2021,29,ug/m3 SC,27,1,100
2/21/2021,16,ug/m3 SC,15,1,100
2/22/2021,9,ug/m3 SC,8,1,100
2/23/2021,18,ug/m3 SC,17,1,100
2/24/2021,18,ug/m3 SC,17,1,100
2/25/2021,23,ug/m3 SC,21,1,100
2/26/2021,20,ug/m3 SC,19,1,100
2/27/2021,25,ug/m3 SC,23,1,100
2/28/2021,21,ug/m3 SC,19,1,100
3/1/2021,18,ug/m3 SC,17,1,100
3/2/2021,33,ug/m3 SC,31,1,100
3/3/2021,26,ug/m3 SC,24,1,100
3/4/2021,37,ug/m3 SC,34,1,100
3/5/2021,16,ug/m3 SC,15,1,100
3/6/2021,18,ug/m3 SC,17,1,100
3/7/2021,24,ug/m3 SC,22,1,100
3/8/2021,39,ug/m3 SC,36,1,100
3/9/2021,32,ug/m3 SC,30,1,100
3/10/2021,30,ug/m3 SC,28,1,100
3/11/2021,24,ug/m3 SC,22,1,100
3/12/2021,35,ug/m3 SC,32,1,100
3/13/2021,15,ug/m3 SC,14,1,100
3/14/2021,13,ug/m3 SC,12,1,100
3/15/2021,14,ug/m3 SC,13,1,100
3/16/2021,26,ug/m3 SC,24,1,100
3/17/2021,11,ug/m3 SC,10,1,100
3/18/2021,15,ug/m3 SC,14,1,100
3/19/2021,22,ug/m3 SC,20,1,100
3/20/2021,31,ug/m3 SC,29,1,100
3/21/2021,14,ug/m3 SC,13,1,100
3/22/2021,23,ug/m3 SC,21,1,100
3/23/2021,14,ug/m3 SC,13,1,100
3/24/2021,9,ug/m3 SC,8,1,100
3/25/2021,12,ug/m3 SC,11,1,100
3/26/2021,16,ug/m3 SC,15,1,100
3/27/2021,12,ug/m3 SC,11,1,100
3/28/2021,13,ug/m3 SC,12,1,100
3/29/2021,19,ug/m3 SC,18,1,100
3/30/2021,19,ug/m3 SC,18,1,100
3/31/2021,14,ug/m3 SC,13,1,100
4/1/2021,28,ug/m3 SC,26,1,100
4/2/2021,39,ug/m3 SC,36,1,100
4/3/2021,24,ug/m3 SC,22,1,100
4/4/2021,23,ug/m3 SC,21,1,100
4/5/2021,29,ug/m3 SC,27,1,100
4/6/2021,60,ug/m3 SC,53,1,100
4/7/2021,21,ug/m3 SC,19,1,100
4/8/2021,46,ug/m3 SC,43,1,100
4/9/2021,26,ug/m3 SC,24,1,100
4/10/2021,29,ug/m3 SC,27,1,100
4/11/2021,21,ug/m3 SC,19,1,100
4/12/2021,45,ug/m3 SC,42,1,100
4/13/2021,48,ug/m3 SC,44,1,100
4/14/2021,49,ug/m3 SC,45,1,100
4/15/2021,52,ug/m3 SC,48,1,100
4/16/2021,23,ug/m3 SC,21,1,100
4/17/2021,14,ug/m3 SC,13,1,100
4/18/2021,11,ug/m3 SC,10,1,100
4/19/2021,16,ug/m3 SC,15,1,100
4/20/2021,41,ug/m3 SC,38,1,100
4/21/2021,44,ug/m3 SC,41,1,100
4/22/2021,33,ug/m3 SC,31,1,100
4/23/2021,32,ug/m3 SC,30,1,100
4/24/2021,30,ug/m3 SC,28,1,100
4/25/2021,21,ug/m3 SC,19,1,100
4/26/2021,21,ug/m3 SC,19,1,100
4/27/2021,23,ug/m3 SC,21,1,100
4/28/2021,13,ug/m3 SC,12,1,100
5/1/2021,18,ug/m3 SC,17,1,100
5/2/2021,18,ug/m3 SC,17,1,100
5/3/2021,23,ug/m3 SC,21,1,100
5/4/2021,15,ug/m3 SC,14,1,100
5/5/2021,20,ug/m3 SC,19,1,100
5/6/2021,24,ug/m3 SC,22,1,100
5/7/2021,70,ug/m3 SC,58,1,100
5/8/2021,28,ug/m3 SC,26,1,100
5/9/2021,28,ug/m3 SC,26,1,100
5/10/2021,31,ug/m3 SC,29,1,100
5/11/2021,26,ug/m3 SC,24,1,100
5/12/2021,26,ug/m3 SC,24,1,100
5/13/2021,29,ug/m3 SC,27,1,100
5/14/2021,85,ug/m3 SC,66,1,100
5/15/2021,29,ug/m3 SC,27,1,100
5/16/2021,21,ug/m3 SC,19,1,100
5/17/2021,24,ug/m3 SC,22,1,100
5/18/2021,16,ug/m3 SC,15,1,100
5/19/2021,14,ug/m3 SC,13,1,100
5/20/2021,21,ug/m3 SC,19,1,100
5/21/2021,25,ug/m3 SC,23,1,100
5/22/2021,52,ug/m3 SC,48,1,100
5/23/2021,24,ug/m3 SC,22,1,100
5/24/2021,24,ug/m3 SC,22,1,100
5/25/2021,16,ug/m3 SC,15,1,100
5/26/2021,29,ug/m3 SC,27,1,100
5/27/2021,20,ug/m3 SC,19,1,100
5/28/2021,29,ug/m3 SC,27,1,100
5/29/2021,27,ug/m3 SC,25,1,100
5/30/2021,26,ug/m3 SC,24,1,100
5/31/2021,13,ug/m3 SC,12,1,100
6/1/2021,13,ug/m3 SC,12,1,100
6/2/2021,19,ug/m3 SC,18,1,100
6/3/2021,23,ug/m3 SC,21,1,100
6/4/2021,16,ug/m3 SC,15,1,100
6/5/2021,19,ug/m3 SC,18,1,100
6/6/2021,24,ug/m3 SC,22,1,100
6/7/2021,40,ug/m3 SC,37,1,100
6/8/2021,66,ug/m3 SC,56,1,100
6/9/2021,52,ug/m3 SC,48,1,100
6/10/2021,39,ug/m3 SC,36,1,100
6/11/2021,24,ug/m3 SC,22,1,100
6/12/2021,62,ug/m3 SC,54,1,100
6/13/2021,70,ug/m3 SC,58,1,100
6/14/2021,47,ug/m3 SC,44,1,100
6/15/2021,40,ug/m3 SC,37,1,100
6/16/2021,38,ug/m3 SC,35,1,100
6/17/2021,35,ug/m3 SC,32,1,100
