Date,Daily Mean Pb Concentration,UNITS,PERCENT_COMPLETE
1/4/2013,0.001,ug/m3 LC,100
1/10/2013,0.003,ug/m3 LC,100
1/16/2013,0.002,ug/m3 LC,100
1/22/2013,0.003,ug/m3 LC,100
1/28/2013,0.002,ug/m3 LC,100
2/3/2013,0.001,ug/m3 LC,100
2/9/2013,0.005,ug/m3 LC,100
2/15/2013,0.002,ug/m3 LC,100
2/21/2013,0.002,ug/m3 LC,100
2/27/2013,0.002,ug/m3 LC,100
3/5/2013,0.002,ug/m3 LC,100
3/11/2013,0.002,ug/m3 LC,100
3/17/2013,0.002,ug/m3 LC,100
3/23/2013,0.006,ug/m3 LC,100
3/29/2013,0.002,ug/m3 LC,100
4/4/2013,0.002,ug/m3 LC,100
4/10/2013,0.001,ug/m3 LC,100
4/16/2013,0.003,ug/m3 LC,100
4/22/2013,0.003,ug/m3 LC,100
4/28/2013,0.003,ug/m3 LC,100
5/4/2013,0.006,ug/m3 LC,100
5/10/2013,0.001,ug/m3 LC,100
5/16/2013,0.002,ug/m3 LC,100
5/22/2013,0.003,ug/m3 LC,100
5/28/2013,0.003,ug/m3 LC,100
6/3/2013,0.004,ug/m3 LC,100
6/9/2013,0.003,ug/m3 LC,100
6/15/2013,0.005,ug/m3 LC,100
6/21/2013,0.003,ug/m3 LC,100
6/27/2013,0.002,ug/m3 LC,100
7/3/2013,0.001,ug/m3 LC,100
7/9/2013,0.002,ug/m3 LC,100
7/15/2013,0.001,ug/m3 LC,100
7/21/2013,0.002,ug/m3 LC,100
7/27/2013,0.001,ug/m3 LC,100
8/8/2013,0.001,ug/m3 LC,100
8/14/2013,0.002,ug/m3 LC,100
8/26/2013,0.001,ug/m3 LC,100
9/1/2013,0.002,ug/m3 LC,100
9/7/2013,0.003,ug/m3 LC,100
9/13/2013,0.001,ug/m3 LC,100
9/19/2013,0.002,ug/m3 LC,100
9/25/2013,0.002,ug/m3 LC,100
10/1/2013,0.002,ug/m3 LC,100
10/7/2013,0.002,ug/m3 LC,100
10/13/2013,0.002,ug/m3 LC,100
10/19/2013,0.002,ug/m3 LC,100
10/25/2013,0.001,ug/m3 LC,100
10/31/2013,0.001,ug/m3 LC,100
11/6/2013,0.002,ug/m3 LC,100
11/12/2013,0.003,ug/m3 LC,100
11/18/2013,0.003,ug/m3 LC,100
11/24/2013,0.002,ug/m3 LC,100
11/30/2013,0.002,ug/m3 LC,100
12/6/2013,0.002,ug/m3 LC,100
12/12/2013,0.002,ug/m3 LC,100
12/18/2013,0.004,ug/m3 LC,100
12/24/2013,0.002,ug/m3 LC,100
12/30/2013,0.002,ug/m3 LC,100
