Date,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2017,0.5,ppb,0,21,88
1/2/2017,0.9,ppb,0,24,100
1/3/2017,2.9,ppb,3,24,100
1/4/2017,3.9,ppb,4,24,100
1/5/2017,0.4,ppb,0,24,100
1/6/2017,0.2,ppb,0,21,88
1/7/2017,1.2,ppb,1,23,96
1/8/2017,1.9,ppb,1,21,88
1/9/2017,1.9,ppb,1,23,96
1/10/2017,0.4,ppb,0,24,100
1/11/2017,0.6,ppb,0,24,100
1/12/2017,2.7,ppb,3,24,100
1/13/2017,2,ppb,3,24,100
1/14/2017,0.9,ppb,0,24,100
1/15/2017,0.4,ppb,0,21,88
1/16/2017,0.3,ppb,0,24,100
1/17/2017,1.3,ppb,1,24,100
1/18/2017,0.9,ppb,0,24,100
1/19/2017,2.6,ppb,3,24,100
1/20/2017,0.4,ppb,0,24,100
1/21/2017,0.5,ppb,0,24,100
1/22/2017,0.3,ppb,0,21,88
1/23/2017,0.5,ppb,0,24,100
1/24/2017,0.3,ppb,0,24,100
1/25/2017,0.6,ppb,0,24,100
1/26/2017,1.1,ppb,1,20,83
1/27/2017,0.3,ppb,0,24,100
1/28/2017,0.5,ppb,0,24,100
1/29/2017,0.6,ppb,0,21,88
1/30/2017,2.7,ppb,3,24,100
1/31/2017,2.7,ppb,3,24,100
2/1/2017,2.9,ppb,3,24,100
2/2/2017,2.1,ppb,3,21,88
2/3/2017,3.8,ppb,4,24,100
2/4/2017,1.5,ppb,1,24,100
2/5/2017,1.4,ppb,1,21,88
2/6/2017,2.7,ppb,3,24,100
2/7/2017,1.8,ppb,1,24,100
2/8/2017,1.1,ppb,1,24,100
2/9/2017,1.2,ppb,1,24,100
2/10/2017,3.1,ppb,4,24,100
2/11/2017,0.9,ppb,0,24,100
2/12/2017,0.6,ppb,0,18,75
2/13/2017,0.4,ppb,0,22,92
2/14/2017,0.3,ppb,0,24,100
2/15/2017,1.8,ppb,1,24,100
2/16/2017,3.1,ppb,4,21,88
2/17/2017,1.8,ppb,1,24,100
2/18/2017,0.9,ppb,0,24,100
2/19/2017,0.4,ppb,0,24,100
2/20/2017,0.2,ppb,0,24,100
2/22/2017,1.7,ppb,1,21,88
2/23/2017,0.4,ppb,0,24,100
2/24/2017,0.4,ppb,0,24,100
2/25/2017,0.7,ppb,0,24,100
2/26/2017,0.4,ppb,0,21,88
2/27/2017,2.3,ppb,3,24,100
2/28/2017,0.4,ppb,0,24,100
3/1/2017,0.4,ppb,0,24,100
3/2/2017,0.2,ppb,0,24,100
3/3/2017,1.3,ppb,1,24,100
3/4/2017,1,ppb,1,24,100
3/5/2017,1,ppb,1,21,88
3/6/2017,0.4,ppb,0,24,100
3/7/2017,0.6,ppb,0,24,100
3/8/2017,0.6,ppb,0,24,100
3/9/2017,0.4,ppb,0,24,100
3/10/2017,1.1,ppb,1,24,100
3/11/2017,0.9,ppb,0,24,100
3/12/2017,0.4,ppb,0,21,88
3/13/2017,0.5,ppb,0,24,100
3/14/2017,2.7,ppb,3,24,100
3/15/2017,1.4,ppb,1,24,100
3/16/2017,2.3,ppb,3,21,88
3/18/2017,0.5,ppb,0,24,100
3/19/2017,0.7,ppb,0,24,100
3/20/2017,1.8,ppb,1,24,100
3/21/2017,0.6,ppb,0,24,100
3/22/2017,0.5,ppb,0,21,88
3/23/2017,0.6,ppb,0,18,75
3/24/2017,0.4,ppb,0,24,100
3/25/2017,0.6,ppb,0,24,100
3/26/2017,0.4,ppb,0,21,88
3/27/2017,1.6,ppb,1,24,100
3/28/2017,0.5,ppb,0,24,100
3/29/2017,0.6,ppb,0,24,100
3/30/2017,1.1,ppb,1,24,100
3/31/2017,0.6,ppb,0,24,100
4/1/2017,0.4,ppb,0,24,100
4/2/2017,0.6,ppb,0,21,88
4/3/2017,1,ppb,1,24,100
4/4/2017,0.5,ppb,0,24,100
4/5/2017,0.4,ppb,0,24,100
4/6/2017,0.5,ppb,0,24,100
4/7/2017,2.3,ppb,3,24,100
4/8/2017,0.9,ppb,0,24,100
4/9/2017,0.5,ppb,0,21,88
4/10/2017,0.6,ppb,0,24,100
4/11/2017,1.4,ppb,1,24,100
4/12/2017,0.5,ppb,0,24,100
4/13/2017,0.9,ppb,0,24,100
4/14/2017,1.4,ppb,1,24,100
4/15/2017,0.7,ppb,0,24,100
4/16/2017,0.5,ppb,0,21,88
4/17/2017,1.2,ppb,1,24,100
4/18/2017,0.7,ppb,0,24,100
4/19/2017,0.7,ppb,0,24,100
4/20/2017,1.4,ppb,1,24,100
4/21/2017,0.6,ppb,0,24,100
4/22/2017,0.5,ppb,0,19,79
4/27/2017,0.5,ppb,0,24,100
4/28/2017,0.2,ppb,0,20,83
4/29/2017,0.2,ppb,0,24,100
4/30/2017,0.1,ppb,0,21,88
5/1/2017,0.4,ppb,0,23,96
5/2/2017,0.2,ppb,0,24,100
5/3/2017,0.2,ppb,0,24,100
5/4/2017,0.2,ppb,0,24,100
5/5/2017,0.7,ppb,0,24,100
5/6/2017,0.9,ppb,0,24,100
5/7/2017,0.3,ppb,0,21,88
5/8/2017,0.4,ppb,0,22,92
5/9/2017,0.3,ppb,0,24,100
5/10/2017,0.3,ppb,0,24,100
5/11/2017,0.3,ppb,0,24,100
5/12/2017,0.3,ppb,0,24,100
5/13/2017,0.3,ppb,0,24,100
