Date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2018,13.3,ug/m3 LC,54,1,100
1/2/2018,11.3,ug/m3 LC,47,1,100
1/3/2018,8.4,ug/m3 LC,35,1,100
1/4/2018,8.7,ug/m3 LC,36,1,100
1/5/2018,14.6,ug/m3 LC,56,1,100
1/6/2018,9.5,ug/m3 LC,40,1,100
1/7/2018,1.6,ug/m3 LC,7,1,100
1/8/2018,6.7,ug/m3 LC,28,1,100
1/9/2018,9.6,ug/m3 LC,40,1,100
1/10/2018,2.3,ug/m3 LC,10,1,100
1/11/2018,1.1,ug/m3 LC,5,1,100
1/12/2018,5,ug/m3 LC,21,1,100
1/13/2018,4.8,ug/m3 LC,20,1,100
1/14/2018,5,ug/m3 LC,21,1,100
1/15/2018,5.3,ug/m3 LC,22,1,100
1/16/2018,7.8,ug/m3 LC,33,1,100
1/17/2018,15.5,ug/m3 LC,58,1,100
1/18/2018,12.9,ug/m3 LC,53,1,100
1/19/2018,11.6,ug/m3 LC,48,1,100
1/20/2018,6.8,ug/m3 LC,28,1,100
1/21/2018,1.5,ug/m3 LC,6,1,100
1/22/2018,2.5,ug/m3 LC,10,1,100
1/23/2018,2.9,ug/m3 LC,12,1,100
1/24/2018,6.6,ug/m3 LC,28,1,100
1/25/2018,6.3,ug/m3 LC,26,1,100
1/26/2018,4.7,ug/m3 LC,20,1,100
1/27/2018,7.2,ug/m3 LC,30,1,100
1/28/2018,4.2,ug/m3 LC,18,1,100
1/29/2018,5.8,ug/m3 LC,24,1,100
1/30/2018,11.9,ug/m3 LC,50,1,100
1/31/2018,9.3,ug/m3 LC,39,1,100
2/1/2018,6.3,ug/m3 LC,26,1,100
2/2/2018,6,ug/m3 LC,25,1,100
2/3/2018,5.8,ug/m3 LC,24,1,100
2/4/2018,3.3,ug/m3 LC,14,1,100
2/5/2018,5.9,ug/m3 LC,25,1,100
2/6/2018,5.1,ug/m3 LC,21,1,100
2/7/2018,2.6,ug/m3 LC,11,1,100
2/8/2018,4.4,ug/m3 LC,18,1,100
2/9/2018,3.3,ug/m3 LC,14,1,100
2/10/2018,3.4,ug/m3 LC,14,1,100
2/11/2018,5.1,ug/m3 LC,21,1,100
2/12/2018,6,ug/m3 LC,25,1,100
2/13/2018,5.5,ug/m3 LC,23,1,100
2/14/2018,4.6,ug/m3 LC,19,1,100
2/15/2018,4.9,ug/m3 LC,20,1,100
2/16/2018,8.2,ug/m3 LC,34,1,100
2/17/2018,5.9,ug/m3 LC,25,1,100
2/18/2018,3.6,ug/m3 LC,15,1,100
2/19/2018,2.2,ug/m3 LC,9,1,100
2/20/2018,4.1,ug/m3 LC,17,1,100
2/21/2018,5,ug/m3 LC,21,1,100
2/22/2018,5.6,ug/m3 LC,23,1,100
2/23/2018,6.5,ug/m3 LC,27,1,100
2/24/2018,2.5,ug/m3 LC,10,1,100
2/25/2018,4.6,ug/m3 LC,19,1,100
2/26/2018,3.7,ug/m3 LC,15,1,100
2/27/2018,4.7,ug/m3 LC,20,1,100
2/28/2018,5.7,ug/m3 LC,24,1,100
3/1/2018,5.5,ug/m3 LC,23,1,100
3/2/2018,3.9,ug/m3 LC,16,1,100
3/3/2018,3.8,ug/m3 LC,16,1,100
3/4/2018,3.2,ug/m3 LC,13,1,100
3/5/2018,1.3,ug/m3 LC,5,1,100
3/6/2018,2.7,ug/m3 LC,11,1,100
3/7/2018,4.5,ug/m3 LC,19,1,100
3/8/2018,5.6,ug/m3 LC,23,1,100
3/9/2018,4.8,ug/m3 LC,20,1,100
3/10/2018,2.8,ug/m3 LC,12,1,100
3/11/2018,4.6,ug/m3 LC,19,1,100
3/12/2018,5.5,ug/m3 LC,23,1,100
3/13/2018,5.4,ug/m3 LC,23,1,100
