Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2020,20.9,ppb,19,24,100
1/2/2020,16.1,ppb,15,24,100
1/3/2020,26.1,ppb,25,24,100
1/4/2020,42.7,ppb,40,24,100
1/5/2020,36.6,ppb,34,20,83
1/6/2020,26,ppb,25,24,100
1/7/2020,44.6,ppb,42,24,100
1/8/2020,38.9,ppb,36,22,92
1/9/2020,48.4,ppb,45,24,100
1/10/2020,14.5,ppb,13,24,100
1/11/2020,38,ppb,36,24,100
1/12/2020,39.6,ppb,37,20,83
1/13/2020,41.1,ppb,39,24,100
1/14/2020,39.7,ppb,37,24,100
1/15/2020,42.6,ppb,40,20,83
1/16/2020,25.6,ppb,24,20,83
1/17/2020,25.2,ppb,24,24,100
1/18/2020,30.9,ppb,28,24,100
1/19/2020,16.5,ppb,15,20,83
1/20/2020,32.8,ppb,30,24,100
1/21/2020,31,ppb,29,23,96
1/22/2020,10.7,ppb,9,24,100
1/23/2020,17.5,ppb,16,24,100
1/24/2020,33.2,ppb,31,24,100
1/25/2020,25.9,ppb,24,24,100
1/26/2020,33.8,ppb,31,20,83
1/27/2020,35.6,ppb,33,19,79
1/28/2020,39.4,ppb,37,24,100
1/29/2020,38.7,ppb,36,24,100
1/30/2020,34.8,ppb,32,24,100
1/31/2020,23,ppb,22,24,100
2/1/2020,34.4,ppb,32,24,100
2/2/2020,27.4,ppb,25,20,83
2/3/2020,33.7,ppb,31,24,100
2/4/2020,21.2,ppb,20,22,92
2/5/2020,17.1,ppb,16,24,100
2/6/2020,14.4,ppb,13,24,100
2/7/2020,30.3,ppb,28,24,100
2/8/2020,31.7,ppb,29,24,100
2/9/2020,30.6,ppb,28,20,83
2/10/2020,18.4,ppb,17,23,96
2/11/2020,12.4,ppb,11,24,100
2/12/2020,36.2,ppb,34,24,100
2/13/2020,38.4,ppb,36,24,100
2/14/2020,36.4,ppb,34,24,100
2/15/2020,31.6,ppb,29,24,100
2/16/2020,36.3,ppb,34,20,83
2/17/2020,32.4,ppb,30,24,100
2/18/2020,27.9,ppb,25,23,96
2/19/2020,28.9,ppb,26,24,100
2/20/2020,31.2,ppb,29,19,79
2/21/2020,20.4,ppb,19,24,100
2/22/2020,24.4,ppb,23,24,100
2/23/2020,22.7,ppb,21,20,83
2/24/2020,34.2,ppb,32,18,75
2/25/2020,12.4,ppb,11,24,100
2/26/2020,28.7,ppb,26,24,100
2/27/2020,40.6,ppb,38,23,96
2/28/2020,36.2,ppb,34,24,100
2/29/2020,35.1,ppb,33,24,100
3/1/2020,22.5,ppb,21,20,83
3/2/2020,31,ppb,29,21,88
3/4/2020,35.4,ppb,33,24,100
3/5/2020,35.5,ppb,33,24,100
3/6/2020,32.6,ppb,30,24,100
3/7/2020,24.7,ppb,23,24,100
3/8/2020,12.5,ppb,11,20,83
3/9/2020,22.9,ppb,21,18,75
3/11/2020,11.8,ppb,10,24,100
3/12/2020,19.8,ppb,18,24,100
3/13/2020,6.3,ppb,6,24,100
3/14/2020,26,ppb,25,24,100
3/15/2020,20.7,ppb,19,20,83
3/16/2020,20.6,ppb,19,20,83
3/17/2020,35.4,ppb,33,24,100
3/18/2020,24.3,ppb,23,24,100
3/19/2020,12.1,ppb,11,21,88
3/20/2020,32.4,ppb,30,24,100
3/21/2020,24.6,ppb,23,24,100
3/22/2020,27.7,ppb,25,20,83
3/23/2020,18.1,ppb,17,20,83
3/24/2020,9.7,ppb,8,24,100
3/25/2020,12.4,ppb,11,24,100
3/26/2020,15,ppb,14,24,100
3/27/2020,2.9,ppb,2,24,100
3/28/2020,12.2,ppb,11,24,100
3/29/2020,8.5,ppb,8,20,83
3/30/2020,33.9,ppb,31,21,88
3/31/2020,35.5,ppb,33,22,92
4/1/2020,9.6,ppb,8,24,100
4/2/2020,16.1,ppb,15,24,100
4/3/2020,14.4,ppb,13,24,100
4/4/2020,5.2,ppb,5,24,100
4/5/2020,19.9,ppb,18,20,83
4/6/2020,25.7,ppb,24,22,92
4/7/2020,18.5,ppb,17,24,100
4/8/2020,16.2,ppb,15,24,100
4/9/2020,31.4,ppb,29,24,100
4/10/2020,26.2,ppb,25,24,100
4/11/2020,20,ppb,19,24,100
4/12/2020,8.2,ppb,8,20,83
4/13/2020,16.4,ppb,15,23,96
4/14/2020,22.7,ppb,21,24,100
4/15/2020,36.8,ppb,34,18,75
4/16/2020,15.5,ppb,14,22,92
4/17/2020,20.6,ppb,19,24,100
4/18/2020,13.2,ppb,12,24,100
4/19/2020,9.8,ppb,8,20,83
4/20/2020,12.4,ppb,11,23,96
4/21/2020,14.8,ppb,13,24,100
4/22/2020,5,ppb,5,24,100
4/23/2020,26.6,ppb,25,24,100
4/24/2020,8.7,ppb,8,24,100
4/25/2020,16.7,ppb,15,24,100
4/26/2020,16.4,ppb,15,20,83
4/27/2020,15.4,ppb,14,22,92
4/28/2020,17.6,ppb,16,24,100
4/29/2020,8.4,ppb,8,24,100
4/30/2020,27.4,ppb,25,21,88
5/1/2020,10.2,ppb,9,24,100
5/2/2020,9.1,ppb,8,24,100
5/3/2020,7.4,ppb,7,20,83
5/4/2020,5.6,ppb,5,22,92
5/5/2020,14.6,ppb,13,24,100
5/6/2020,10.4,ppb,9,24,100
5/7/2020,11.6,ppb,10,24,100
5/8/2020,3.5,ppb,3,24,100
5/9/2020,9.2,ppb,8,24,100
5/10/2020,5.1,ppb,5,20,83
5/11/2020,8.2,ppb,8,24,100
5/12/2020,20.1,ppb,19,21,88
5/13/2020,9.3,ppb,8,24,100
