Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,,,Month,Year
11-Nov-24,New Mexico,Las Cruces,1300 block of S Espina St,0,0,0,1,1,,,11,2024
11-Nov-24,New Mexico,Albuquerque,2401 San Mateo Blvd NE,0,3,1,0,0,,,11,2024
10-Nov-24,New Mexico,Albuquerque,Mountain Rd NE and Georgia St NE,1,0,0,0,1,,,11,2024
10-Nov-24,New Mexico,Santa Fe,3700 block of Camino Tierra Real,1,0,0,0,1,,,11,2024
9-Nov-24,New Mexico,Santa Fe,6332 Entrada de Milagro,0,1,0,0,1,,,11,2024
9-Nov-24,New Mexico,Albuquerque,400 Vermont St NE,0,1,0,0,1,,,11,2024
5-Nov-24,New Mexico,Chimayo,Juan Medina Rd,0,1,0,0,2,,,11,2024
2-Nov-24,New Mexico,Santa Fe,NM-599 and N Horizon Ln,0,1,0,0,2,,,11,2024
1-Nov-24,New Mexico,Bayard,US-180,1,1,0,0,1,,,11,2024
30-Oct-24,New Mexico,Rio Rancho,Inca Rd and 2nd St SE,1,0,0,0,0,,,10,2024
29-Oct-24,New Mexico,Clayton,301 Magnolia St,0,1,0,0,1,,,10,2024
29-Oct-24,New Mexico,Albuquerque,5015 Larchmont Dr NE,1,0,0,0,1,,,10,2024
27-Oct-24,New Mexico,Clovis,900 block of W Plaza Dr,0,2,0,0,0,,,10,2024
27-Oct-24,New Mexico,Clovis,700 block of S Sandoval St,0,1,0,0,0,,,10,2024
22-Oct-24,New Mexico,Albuquerque,Lost Horizon Dr NW,1,0,0,0,1,,,10,2024
22-Oct-24,New Mexico,Shiprock,US-64,0,0,0,0,2,,,10,2024
21-Oct-24,New Mexico,Hobbs,N Dal Paso St and E Navajo Dr,1,0,0,0,1,,,10,2024
21-Oct-24,New Mexico,Farmington,2900 block of English Rd,2,0,0,0,1,,,10,2024
21-Oct-24,New Mexico,Roswell,N Orchard Ave and E 3rd St,1,0,0,0,4,,,10,2024
20-Oct-24,New Mexico,Albuquerque,Atrisco Dr SW and Rosendo Garcia Rd SW,2,0,0,0,0,,,10,2024
20-Oct-24,New Mexico,Albuquerque,5301 Quail Rd NW,2,0,0,0,0,,,10,2024
20-Oct-24,New Mexico,Albuquerque,N/A,0,2,0,0,0,,,10,2024
19-Oct-24,New Mexico,Clovis,2000 block of N Prince Ave,0,3,0,0,1,,,10,2024
19-Oct-24,New Mexico,Hobbs,N Dal Paso St and E Navajo Dr,1,0,0,0,1,,,10,2024
18-Oct-24,New Mexico,Albuquerque,5715 Central Ave NE,0,0,1,0,0,,,10,2024
16-Oct-24,New Mexico,Albuquerque,6901 Glenrio Rd NW,1,0,0,0,1,,,10,2024
15-Oct-24,New Mexico,Roswell,W Country Club Rd and N Kentucky Ave,0,0,1,0,0,,,10,2024
15-Oct-24,New Mexico,Albuquerque,N/A,0,1,0,0,1,,,10,2024
14-Oct-24,New Mexico,Albuquerque,400 block of Eubank Blvd NE,1,0,0,0,1,,,10,2024
13-Oct-24,New Mexico,Albuquerque,Cochiti Rd SE and Britt St SE,0,1,1,0,0,,,10,2024
13-Oct-24,New Mexico,Albuquerque,511 Bridge Blvd SW,1,0,0,0,1,,,10,2024
13-Oct-24,New Mexico,Tijeras,55 Young Rd,3,0,0,0,1,,,10,2024
10-Oct-24,New Mexico,Roswell,S Main St and Relief Route,0,0,1,0,0,,,10,2024
9-Oct-24,New Mexico,Clovis,1320 Traver St,1,0,0,0,1,,,10,2024
8-Oct-24,New Mexico,Albuquerque,10800 Dennis Chavez Blvd SW,0,0,0,0,1,,,10,2024
7-Oct-24,New Mexico,Santa Fe,Calle Pacifica,0,1,0,0,0,,,10,2024
6-Oct-24,New Mexico,Albuquerque,Central Ave SE and Espanola St NE,0,1,0,0,0,,,10,2024
6-Oct-24,New Mexico,Albuquerque,1000 block of Madeira SE,1,0,0,0,0,,,10,2024
5-Oct-24,New Mexico,Albuquerque,6700 block of Cochiti Rd SE,1,0,0,0,0,,,10,2024
3-Oct-24,New Mexico,Belen (Los Chavez),4000 block of Short St,1,0,0,0,1,,,10,2024
3-Oct-24,New Mexico,Albuquerque,6000 Anderson Ave SE,1,0,0,0,0,,,10,2024
2-Oct-24,New Mexico,Las Cruces,800 block of Holly St,1,0,0,0,0,,,10,2024
